edition,edition_id,country_noc,sport,event,result_id,athlete,athlete_id,pos,medal,isTeamSport
1996 Summer Olympics,24,ARU,Weightlifting,"Middleweight, Men",30104,Junior Faro,55126,21,,FALSE
2004 Summer Olympics,26,ARU,Weightlifting,"Middle-Heavyweight, Men",30341,Junior Faro,55126,19,,FALSE
2012 Summer Olympics,54,ARU,Weightlifting,"Super-Heavyweight, Men",331126,Carl Henriquez,120212,15,,FALSE
1988 Summer Olympics,22,ASA,Weightlifting,"Light-Heavyweight, Men",29933,Lopesi Faagu,55128,18,,FALSE
1988 Summer Olympics,22,ASA,Weightlifting,"Heavyweight II, Men",29960,Tauama Timoti,55129,16,,FALSE
1992 Summer Olympics,23,ASA,Weightlifting,"Middle-Heavyweight, Men",30032,Eric Brown,55127,21,,FALSE
1996 Summer Olympics,24,ASA,Weightlifting,"Middle-Heavyweight, Men",30123,Eric Brown,55127,22,,FALSE
2000 Summer Olympics,25,ASA,Weightlifting,"Super-Heavyweight, Men",30224,Alesana Sione,57140,20,,FALSE
2004 Summer Olympics,26,ASA,Weightlifting,"Heavyweight, Men",30350,Eleei Ilalio,104643,15,,FALSE
2016 Summer Olympics,59,ASA,Weightlifting,"Middle-Heavyweight, Men",354335,Tanumafili Jungblut,132451,DNF,,FALSE
2020 Summer Olympics,61,ASA,Weightlifting,"Heavyweight, Men",19002065,Tanumafili Jungblut,132451,13,,FALSE
1968 Summer Olympics,17,BIZ,Weightlifting,"Lightweight, Men",29413,Mario Mendoza,55278,19,,FALSE
1968 Summer Olympics,17,BAR,Weightlifting,"Bantamweight, Men",29384,Anthony Phillips,55232,DNF,,FALSE
1972 Summer Olympics,18,BAR,Weightlifting,"Bantamweight, Men",29502,Anthony Phillips,55232,DNF,,FALSE
1972 Summer Olympics,18,ALB,Weightlifting,"Featherweight, Men",29517,Ymer Pampuri,55081,9,,FALSE
1992 Summer Olympics,23,ALB,Weightlifting,"Lightweight, Men",30005,Fatmir Bushi,55079,11,,FALSE
1992 Summer Olympics,23,ALB,Weightlifting,"Lightweight, Men",30005,Sokol Bishanaku,55078,13,,FALSE
1992 Summer Olympics,23,ALB,Weightlifting,"Heavyweight II, Men",30050,Dedë Dekaj,55080,9,,FALSE
1996 Summer Olympics,24,ALB,Weightlifting,"Middleweight, Men",30104,Ilirian Suli,55082,14,,FALSE
2000 Summer Olympics,25,ALB,Weightlifting,"Middleweight, Men",30188,Ilirian Suli,55082,5,,FALSE
2004 Summer Olympics,26,ALB,Weightlifting,"Featherweight, Men",30305,Gert Trasha,103562,13,,FALSE
2004 Summer Olympics,26,ALB,Weightlifting,"Middleweight, Men",30323,Theoharis Trasha,104570,12,,FALSE
2008 Summer Olympics,53,ALB,Weightlifting,"Lightweight, Men",263015,Gert Trasha,103562,DNF,,FALSE
2008 Summer Olympics,53,ALB,Weightlifting,"Middleweight, Men",263024,Erkand Qerimaj,116361,13,,FALSE
2008 Summer Olympics,53,ALB,Weightlifting,"Lightweight, Women",263087,Romela Begaj,116259,5,,FALSE
2012 Summer Olympics,54,ALB,Weightlifting,"Lightweight, Men",331054,Briken Calja,121597,6,,FALSE
2012 Summer Olympics,54,ALB,Weightlifting,"Lightweight, Men",331054,Daniel Godelli,121593,DNF,,FALSE
2012 Summer Olympics,54,ALB,Weightlifting,"Middle-Heavyweight, Men",331099,Endri Karina,121676,DQ,,FALSE
2012 Summer Olympics,54,ALB,Weightlifting,"Lightweight, Women",331027,Romela Begaj,116259,9,,FALSE
2016 Summer Olympics,59,ALB,Weightlifting,"Lightweight, Men",354308,Briken Calja,121597,5,,FALSE
2016 Summer Olympics,59,ALB,Weightlifting,"Featherweight, Women",354371,Evagjelia Veli,128853,8,,FALSE
2020 Summer Olympics,61,ALB,Weightlifting,"Middleweight, Men",19002038,Briken Calja,121597,4,,FALSE
2020 Summer Olympics,61,ALB,Weightlifting,"Light-Heavyweight, Men",19002047,Erkand Qerimaj,116361,9,,FALSE
1996 Summer Olympics,24,AZE,Weightlifting,"Bantamweight, Men",30077,Asif Məlikov,55231,DNF,,FALSE
1996 Summer Olympics,24,AZE,Weightlifting,"Light-Heavyweight, Men",30113,Tofiq Heydərov,55230,11,,FALSE
2000 Summer Olympics,25,AZE,Weightlifting,"Featherweight, Men",30169,Elxan Süleymanov,94917,8,,FALSE
2000 Summer Olympics,25,AZE,Weightlifting,"Lightweight, Men",30178,Turan Mirzəyev,94915,9,,FALSE
2000 Summer Olympics,25,AZE,Weightlifting,"Light-Heavyweight, Men",30197,Nizami Paşayev,94916,12,,FALSE
2000 Summer Olympics,25,AZE,Weightlifting,"Featherweight, Women",30242,Təranə Abbasova,94914,10,,FALSE
2004 Summer Olympics,26,AZE,Weightlifting,"Featherweight, Men",30305,Asif Məlikov,55231,12,,FALSE
2004 Summer Olympics,26,AZE,Weightlifting,"Lightweight, Men",30314,Turan Mirzəyev,94915,4,,FALSE
2004 Summer Olympics,26,AZE,Weightlifting,"Middle-Heavyweight, Men",30341,Əlibəy Səmədov,104655,15,,FALSE
2004 Summer Olympics,26,AZE,Weightlifting,"Middle-Heavyweight, Men",30341,Nizami Paşayev,94916,DNF,,FALSE
2004 Summer Olympics,26,AZE,Weightlifting,"Heavyweight, Men",30350,Alan Naniyev,104639,6,,FALSE
2008 Summer Olympics,53,AZE,Weightlifting,"Featherweight, Men",263006,Sərdar Həsənov,116324,DQ,,FALSE
2008 Summer Olympics,53,AZE,Weightlifting,"Lightweight, Men",263015,Turan Mirzəyev,94915,4,,FALSE
2008 Summer Olympics,53,AZE,Weightlifting,"Lightweight, Men",263015,Əfqan Bayramov,116332,6,,FALSE
2008 Summer Olympics,53,AZE,Weightlifting,"Light-Heavyweight, Men",263033,İntiqam Zairov,116383,DQ,,FALSE
2008 Summer Olympics,53,AZE,Weightlifting,"Middle-Heavyweight, Men",263042,Nizami Paşayev,94916,DQ,,FALSE
2012 Summer Olympics,54,AZE,Weightlifting,"Bantamweight, Men",331018,Valentin Xristov,121627,DQ,,FALSE
2012 Summer Olympics,54,AZE,Weightlifting,"Lightweight, Men",331054,Əfqan Bayramov,116332,DNF,,FALSE
2012 Summer Olympics,54,AZE,Weightlifting,"Lightweight, Men",331054,Sərdar Həsənov,116324,DQ,,FALSE
2012 Summer Olympics,54,AZE,Weightlifting,"Middle-Heavyweight, Men",331099,İntiqam Zairov,116383,DQ,,FALSE
2012 Summer Olympics,54,AZE,Weightlifting,"Lightweight, Women",331027,Boyanka Kostova,121626,DQ,,FALSE
1996 Summer Olympics,24,ARM,Weightlifting,"Featherweight, Men",30086,Eduard Darbinyan,55119,12,,FALSE
1996 Summer Olympics,24,ARM,Weightlifting,"Lightweight, Men",30095,Israel Militosyan,55124,6,,FALSE
1996 Summer Olympics,24,ARM,Weightlifting,"Lightweight, Men",30095,Hayk Yeghiazaryan,55120,12,,FALSE
1996 Summer Olympics,24,ARM,Weightlifting,"Middleweight, Men",30104,Hovhannes Barseghyan,55116,8,,FALSE
1996 Summer Olympics,24,ARM,Weightlifting,"Middleweight, Men",30104,Khachatur Kyapanaktsyan,55123,DNF,,FALSE
1996 Summer Olympics,24,ARM,Weightlifting,"Light-Heavyweight, Men",30113,Sergo Chakhoyan,55117,6,,FALSE
1996 Summer Olympics,24,ARM,Weightlifting,"Middle-Heavyweight, Men",30123,Aleksan Karapetyan,55122,13,,FALSE
1996 Summer Olympics,24,ARM,Weightlifting,"Heavyweight I, Men",30132,Aghvan Grigoryan,55121,8,,FALSE
1996 Summer Olympics,24,ARM,Weightlifting,"Heavyweight II, Men",30141,Ara Vardanyan,55125,7,,FALSE
1996 Summer Olympics,24,ARM,Weightlifting,"Super-Heavyweight, Men",30150,Ashot Danielyan,55118,13,,FALSE
2000 Summer Olympics,25,ARM,Weightlifting,"Lightweight, Men",30178,Rudik Petrosyan,94906,5,,FALSE
2000 Summer Olympics,25,ARM,Weightlifting,"Middleweight, Men",30188,Arsen Melikyan,94905,3,Bronze,FALSE
2000 Summer Olympics,25,ARM,Weightlifting,"Light-Heavyweight, Men",30197,Gagik Khachatryan,94904,5,,FALSE
2000 Summer Olympics,25,ARM,Weightlifting,"Super-Heavyweight, Men",30224,Ashot Danielyan,55118,DQ,,FALSE
2004 Summer Olympics,26,ARM,Weightlifting,"Featherweight, Men",30305,Armen Ghazaryan,103557,4,,FALSE
2004 Summer Olympics,26,ARM,Weightlifting,"Middleweight, Men",30323,Gevorg Aleksanyan,104577,DNF,,FALSE
2004 Summer Olympics,26,ARM,Weightlifting,"Light-Heavyweight, Men",30332,Tigran Varban Martirosyan,104584,7,,FALSE
2004 Summer Olympics,26,ARM,Weightlifting,"Super-Heavyweight, Men",30359,Ashot Danielyan,55118,DNF,,FALSE
2008 Summer Olympics,53,ARM,Weightlifting,"Lightweight, Men",263015,Tigran Gevorg Martirosyan,116329,DQ,,FALSE
2008 Summer Olympics,53,ARM,Weightlifting,"Middleweight, Men",263024,Gevorg Davtyan,116354,3,Bronze,FALSE
2008 Summer Olympics,53,ARM,Weightlifting,"Middleweight, Men",263024,Ara Khachatryan,116356,7,,FALSE
2008 Summer Olympics,53,ARM,Weightlifting,"Light-Heavyweight, Men",263033,Tigran Varban Martirosyan,104584,2,Silver,FALSE
2008 Summer Olympics,53,ARM,Weightlifting,"Light-Heavyweight, Men",263033,Edgar Gevorgyan,116392,DNF,,FALSE
2008 Summer Olympics,53,ARM,Weightlifting,"Heavyweight, Women",263114,Hripsime Khurshudyan,116294,DQ,,FALSE
2012 Summer Olympics,54,ARM,Weightlifting,"Lightweight, Men",331054,Arakel Mirzoyan,120898,DNF,,FALSE
2012 Summer Olympics,54,ARM,Weightlifting,"Light-Heavyweight, Men",331081,Ara Khachatryan,116356,DNF,,FALSE
2012 Summer Olympics,54,ARM,Weightlifting,"Middle-Heavyweight, Men",331099,Norayr Vardanyan,121205,DQ,,FALSE
2012 Summer Olympics,54,ARM,Weightlifting,"Light-Heavyweight, Women",331063,Meline Daluzyan,120899,DQ,,FALSE
2012 Summer Olympics,54,ARM,Weightlifting,"Super-Heavyweight, Women",331108,Hripsime Khurshudyan,116294,DQ,,FALSE
2016 Summer Olympics,59,ARM,Weightlifting,"Middleweight, Men",354317,Andranik Karapetyan,132438,DNF,,FALSE
2016 Summer Olympics,59,ARM,Weightlifting,"Light-Heavyweight, Men",354326,Arakel Mirzoyan,120898,DNF,,FALSE
2016 Summer Olympics,59,ARM,Weightlifting,"Heavyweight, Men",354344,Simon Martirosyan,132441,2,Silver,FALSE
2016 Summer Olympics,59,ARM,Weightlifting,"Super-Heavyweight, Men",354353,Gor Minasyan,132439,2,Silver,FALSE
2016 Summer Olympics,59,ARM,Weightlifting,"Super-Heavyweight, Men",354353,Ruben Aleksanyan,132440,4,,FALSE
2016 Summer Olympics,59,ARM,Weightlifting,"Light-Heavyweight, Women",354398,Nazik Avdalyan,128935,5,,FALSE
2016 Summer Olympics,59,ARM,Weightlifting,"Heavyweight, Women",354407,Sona Poghosyan,128936,10,,FALSE
2020 Summer Olympics,61,ARM,Weightlifting,"Heavyweight, Men",19002065,Simon Martirosyan,132441,2,Silver,FALSE
2020 Summer Olympics,61,ARM,Weightlifting,"Lightweight, Women",19002101,Izabella Yaylyan,140546,7,,FALSE
2020 Summer Olympics,61,BOT,Weightlifting,"Lightweight, Women",19002101,Magdeline Moyengwa,141105,DNF,,FALSE
1992 Summer Olympics,23,BIH,Weightlifting,"Heavyweight II, Men",30050,Mehmed Skender,55265,20,,FALSE
1988 Summer Olympics,22,BOL,Weightlifting,"Middle-Heavyweight, Men",29942,Hernán Cortez,55266,23,,FALSE
1992 Summer Olympics,23,BOL,Weightlifting,"Middle-Heavyweight, Men",30032,Casiano Tejeda,55267,20,,FALSE
2008 Summer Olympics,53,BOL,Weightlifting,"Middleweight, Women",263096,María Teresa Monasterio,116276,16,,FALSE
1980 Summer Olympics,20,ALG,Weightlifting,"Bantamweight, Men",29713,Ahmed Tarbi,55088,11,,FALSE
1980 Summer Olympics,20,ALG,Weightlifting,"Featherweight, Men",29722,Mohamed Gouni,55087,11,,FALSE
1980 Summer Olympics,20,ALG,Weightlifting,"Heavyweight I, Men",29769,Omar Yousfi,55090,13,,FALSE
1984 Summer Olympics,21,ALG,Weightlifting,"Bantamweight, Men",29807,Ahmed Tarbi,55088,DQ,,FALSE
1984 Summer Olympics,21,ALG,Weightlifting,"Featherweight, Men",29816,Noureddine Bekkouche,55084,AC,,FALSE
1988 Summer Olympics,22,ALG,Weightlifting,"Bantamweight, Men",29897,Azzedine Basbas,55083,10,,FALSE
1988 Summer Olympics,22,ALG,Weightlifting,"Heavyweight II, Men",29960,Omar Yousfi,55090,14,,FALSE
1992 Summer Olympics,23,ALG,Weightlifting,"Featherweight, Men",29996,Azzedine Basbas,55083,16,,FALSE
1992 Summer Olympics,23,ALG,Weightlifting,"Lightweight, Men",30005,Abdel Manaane Yahiaoui,55089,4,,FALSE
1996 Summer Olympics,24,ALG,Weightlifting,"Featherweight, Men",30086,Azzedine Basbas,55083,24,,FALSE
1996 Summer Olympics,24,ALG,Weightlifting,"Featherweight, Men",30086,Fouad Bouzenada,55085,29,,FALSE
1996 Summer Olympics,24,ALG,Weightlifting,"Lightweight, Men",30095,Abdel Manaane Yahiaoui,55089,5,,FALSE
2000 Summer Olympics,25,ALG,Weightlifting,"Lightweight, Women",30251,Leila Françoise Lassouani,94901,14,,FALSE
2004 Summer Olympics,26,ALG,Weightlifting,"Bantamweight, Men",30296,Nafaa Benami,103553,DNF,,FALSE
2004 Summer Olympics,26,ALG,Weightlifting,"Middleweight, Women",30395,Leila Françoise Lassouani,94901,7,,FALSE
2008 Summer Olympics,53,ALG,Weightlifting,"Middleweight, Women",263096,Leila Françoise Lassouani,94901,DNF,,FALSE
2012 Summer Olympics,54,ALG,Weightlifting,"Heavyweight, Men",331117,Walid Bidani,122066,12,,FALSE
2016 Summer Olympics,59,ALG,Weightlifting,"Super-Heavyweight, Men",354353,Walid Bidani,122066,13,,FALSE
2016 Summer Olympics,59,ALG,Weightlifting,"Super-Heavyweight, Women",354416,Fatima Hirech,128859,15,,FALSE
2020 Summer Olympics,61,ALG,Weightlifting,"Super-Heavyweight, Men",19002074,Walid Bidani,122066,DNS,,FALSE
2004 Summer Olympics,26,COM,Weightlifting,"Light-Heavyweight, Men",30332,Chaehoi Fatihou,104595,DNF,,FALSE
1988 Summer Olympics,22,COK,Weightlifting,"Middle-Heavyweight, Men",29942,Joseph Kauvai,55413,25,,FALSE
1988 Summer Olympics,22,COK,Weightlifting,"Heavyweight I, Men",29951,Mike Tererui,55415,16,,FALSE
1992 Summer Olympics,23,COK,Weightlifting,"Heavyweight I, Men",30041,Sam Nunuke Pera,55414,DNF,,FALSE
1996 Summer Olympics,24,COK,Weightlifting,"Heavyweight I, Men",30132,Sam Nunuke Pera,55414,24,,FALSE
2004 Summer Olympics,26,COK,Weightlifting,"Heavyweight, Men",30350,Sam Nunuke Pera,55414,14,,FALSE
2008 Summer Olympics,53,COK,Weightlifting,"Super-Heavyweight, Men",263060,Sam Pera,116421,12,,FALSE
2012 Summer Olympics,54,COK,Weightlifting,"Super-Heavyweight, Women",331108,Luisa Peters,120224,11,,FALSE
2016 Summer Olympics,59,COK,Weightlifting,"Super-Heavyweight, Women",354416,Luisa Peters,120224,14,,FALSE
1988 Summer Olympics,22,CMR,Weightlifting,"Heavyweight I, Men",29951,Théodore Nkwayed,55411,14,,FALSE
1988 Summer Olympics,22,CMR,Weightlifting,"Super-Heavyweight, Men",29969,Dieudonné Takou,55412,14,,FALSE
1992 Summer Olympics,23,CMR,Weightlifting,"Light-Heavyweight, Men",30023,Alphonse Hercule Matam,55409,24,,FALSE
1996 Summer Olympics,24,CMR,Weightlifting,"Featherweight, Men",30086,Samson N'Dicka-Matam,55410,25,,FALSE
2004 Summer Olympics,26,CMR,Weightlifting,"Lightweight, Men",30314,Vencelas Dabaya,103798,5,,FALSE
2004 Summer Olympics,26,CMR,Weightlifting,"Light-Heavyweight, Women",30404,Madeleine Yamechi,104618,7,,FALSE
2008 Summer Olympics,53,CMR,Weightlifting,"Light-Heavyweight, Men",263033,Brice Batchaya,116386,11,,FALSE
2012 Summer Olympics,54,CMR,Weightlifting,"Super-Heavyweight, Men",331126,Frédéric Tefot,121964,14,,FALSE
2012 Summer Olympics,54,CMR,Weightlifting,"Heavyweight, Women",331090,Madias Nzesso,121967,3,Bronze,FALSE
2016 Summer Olympics,59,CMR,Weightlifting,"Middle-Heavyweight, Men",354335,Petit David Minkoumba,133234,16,,FALSE
2016 Summer Olympics,59,CMR,Weightlifting,"Light-Heavyweight, Women",354398,Arcangeline Fouodji Sonkbou,129743,14,,FALSE
2020 Summer Olympics,61,CMR,Weightlifting,"Light-Heavyweight, Women",19002119,Jeanne Eyenga,141922,11,,FALSE
2020 Summer Olympics,61,CMR,Weightlifting,"Heavyweight, Women",19002128,Clémentine Meukeugni,141921,11,,FALSE
1996 Summer Olympics,24,BLR,Weightlifting,"Bantamweight, Men",30077,Viktar Siniak,102376,12,,FALSE
1996 Summer Olympics,24,BLR,Weightlifting,"Middleweight, Men",30104,Leanid Lobachou,102374,9,,FALSE
1996 Summer Olympics,24,BLR,Weightlifting,"Middleweight, Men",30104,Aleh Kechko,102373,11,,FALSE
1996 Summer Olympics,24,BLR,Weightlifting,"Middle-Heavyweight, Men",30123,Uladzimir Khlud,102372,15,,FALSE
1996 Summer Olympics,24,BLR,Weightlifting,"Middle-Heavyweight, Men",30123,Viktar Beliatski,102370,17,,FALSE
1996 Summer Olympics,24,BLR,Weightlifting,"Heavyweight I, Men",30132,Aleh Chiritsa,102371,9,,FALSE
1996 Summer Olympics,24,BLR,Weightlifting,"Heavyweight II, Men",30141,Uladzimir Yemelianou,102377,4,,FALSE
1996 Summer Olympics,24,BLR,Weightlifting,"Heavyweight II, Men",30141,Henadziy Shchekalo,102375,DNF,,FALSE
1996 Summer Olympics,24,BLR,Weightlifting,"Super-Heavyweight, Men",30150,Aliaksandr Kurlovich,56904,5,,FALSE
2000 Summer Olympics,25,BLR,Weightlifting,"Bantamweight, Men",30159,Vitali Dzerbianiou,94923,7,,FALSE
2000 Summer Olympics,25,BLR,Weightlifting,"Featherweight, Men",30169,Henadzi Aliashchuk,94925,3,Bronze,FALSE
2000 Summer Olympics,25,BLR,Weightlifting,"Lightweight, Men",30178,Siarhei Laurenau,94924,3,Bronze,FALSE
2000 Summer Olympics,25,BLR,Weightlifting,"Middle-Heavyweight, Men",30206,Paval Bazuk,94922,16,,FALSE
2000 Summer Olympics,25,BLR,Weightlifting,"Lightweight, Women",30251,Hanna Batsiushka,94921,8,,FALSE
2004 Summer Olympics,26,BLR,Weightlifting,"Bantamweight, Men",30296,Vitali Dzerbianiou,94923,4,,FALSE
2004 Summer Olympics,26,BLR,Weightlifting,"Lightweight, Men",30314,Siarhei Laurenau,94924,6,,FALSE
2004 Summer Olympics,26,BLR,Weightlifting,"Light-Heavyweight, Men",30332,Andrei Rybakou,104580,2,Silver,FALSE
2004 Summer Olympics,26,BLR,Weightlifting,"Light-Heavyweight, Men",30332,Aliaksandr Anishchanka,104583,6,,FALSE
2004 Summer Olympics,26,BLR,Weightlifting,"Heavyweight, Men",30350,Mikhail Avdeyev,104644,9,,FALSE
2004 Summer Olympics,26,BLR,Weightlifting,"Featherweight, Women",30377,Nastassia Novikau,103533,5,,FALSE
2004 Summer Olympics,26,BLR,Weightlifting,"Middleweight, Women",30395,Hanna Batsiushka,94921,2,Silver,FALSE
2004 Summer Olympics,26,BLR,Weightlifting,"Middleweight, Women",30395,Tatsiana Stukalava,103793,3,Bronze,FALSE
2008 Summer Olympics,53,BLR,Weightlifting,"Bantamweight, Men",262997,Vitali Dzerbianiou,94923,DNF,,FALSE
2008 Summer Olympics,53,BLR,Weightlifting,"Featherweight, Men",263006,Henadziy Makhveyenia,116322,10,,FALSE
2008 Summer Olympics,53,BLR,Weightlifting,"Middleweight, Men",263024,Siarhei Lahun,116358,10,,FALSE
2008 Summer Olympics,53,BLR,Weightlifting,"Light-Heavyweight, Men",263033,Vadzim Straltsou,116389,DNF,,FALSE
2008 Summer Olympics,53,BLR,Weightlifting,"Light-Heavyweight, Men",263033,Andrei Rybakou,104580,DQ,,FALSE
2008 Summer Olympics,53,BLR,Weightlifting,"Heavyweight, Men",263051,Andrei Aramnau,116404,1,Gold,FALSE
2008 Summer Olympics,53,BLR,Weightlifting,"Featherweight, Women",263078,Nastassia Novikau,103533,DQ,,FALSE
2008 Summer Olympics,53,BLR,Weightlifting,"Light-Heavyweight, Women",263105,Hanna Batsiushka,94921,5,,FALSE
2008 Summer Olympics,53,BLR,Weightlifting,"Heavyweight, Women",263114,Yuliya Navakovich,116293,7,,FALSE
2008 Summer Olympics,53,BLR,Weightlifting,"Heavyweight, Women",263114,Iryna Kulesha,116289,DQ,,FALSE
2012 Summer Olympics,54,BLR,Weightlifting,"Light-Heavyweight, Men",331081,Andrei Rybakou,104580,DNF,,FALSE
2012 Summer Olympics,54,BLR,Weightlifting,"Light-Heavyweight, Men",331081,Mikalai Novikau,127169,DQ,,FALSE
2012 Summer Olympics,54,BLR,Weightlifting,"Middle-Heavyweight, Men",331099,Aliaksandr Makaranka,120985,4,,FALSE
2012 Summer Olympics,54,BLR,Weightlifting,"Super-Heavyweight, Men",331126,Yauhen Zharnasek,120984,DQ,,FALSE
2012 Summer Olympics,54,BLR,Weightlifting,"Lightweight, Women",331027,Nastassia Novikau,103533,5,,FALSE
2012 Summer Olympics,54,BLR,Weightlifting,"Light-Heavyweight, Women",331063,Maryna Shkermankova,120978,DQ,,FALSE
2012 Summer Olympics,54,BLR,Weightlifting,"Light-Heavyweight, Women",331063,Dzina Sazanavets,120981,DQ,,FALSE
2012 Summer Olympics,54,BLR,Weightlifting,"Heavyweight, Women",331090,Iryna Kulesha,116289,DQ,,FALSE
2016 Summer Olympics,59,BLR,Weightlifting,"Light-Heavyweight, Men",354326,Piotr Asayonak,132733,5,,FALSE
2016 Summer Olympics,59,BLR,Weightlifting,"Light-Heavyweight, Men",354326,Paval Khadasevich,132732,6,,FALSE
2016 Summer Olympics,59,BLR,Weightlifting,"Middle-Heavyweight, Men",354335,Vadzim Straltsou,116389,2,Silver,FALSE
2016 Summer Olympics,59,BLR,Weightlifting,"Middle-Heavyweight, Men",354335,Aliaksandr Biarsanau,132730,8,,FALSE
2016 Summer Olympics,59,BLR,Weightlifting,"Super-Heavyweight, Men",354353,Aliaksei Mzhachyk,132731,12,,FALSE
2016 Summer Olympics,59,BLR,Weightlifting,"Light-Heavyweight, Women",354398,Daria Pachabut,129203,6,,FALSE
2016 Summer Olympics,59,BLR,Weightlifting,"Light-Heavyweight, Women",354398,Anastasiya Mikhalenka,129201,DNF,,FALSE
2016 Summer Olympics,59,BLR,Weightlifting,"Heavyweight, Women",354407,Daria Navumava,129202,2,Silver,FALSE
2020 Summer Olympics,61,BLR,Weightlifting,"Middle-Heavyweight, Men",19002056,Yauheni Tsikhantsou,141098,DNF,,FALSE
2020 Summer Olympics,61,BLR,Weightlifting,"Light-Heavyweight, Women",19002119,Daria Navumava,129202,5,,FALSE
1968 Summer Olympics,17,CRC,Weightlifting,"Middleweight, Men",29428,Luis Fonseca,55440,17,,FALSE
1968 Summer Olympics,17,CRC,Weightlifting,"Light-Heavyweight, Men",29442,Rodolfo Castillo,55437,21,,FALSE
1968 Summer Olympics,17,CRC,Weightlifting,"Middle-Heavyweight, Men",29457,Fernando Esquivel,55439,23,,FALSE
1988 Summer Olympics,22,CRC,Weightlifting,"Light-Heavyweight, Men",29933,Rafael Elizondo,55438,16,,FALSE
2008 Summer Olympics,53,CYP,Weightlifting,"Lightweight, Men",263015,Dimitris Minasidis,116344,18,,FALSE
2016 Summer Olympics,59,CYP,Weightlifting,"Light-Heavyweight, Men",354326,Antonis Martasidis,922391,DNS,,FALSE
1968 Summer Olympics,17,ESA,Weightlifting,"Bantamweight, Men",29384,Alex Martínez,55567,13,,FALSE
1968 Summer Olympics,17,ESA,Weightlifting,"Lightweight, Men",29413,Valerio Fontanals,55566,AC,,FALSE
1996 Summer Olympics,24,ESA,Weightlifting,"Featherweight, Men",30086,Francisco Cáceres,55565,31,,FALSE
2000 Summer Olympics,25,ESA,Weightlifting,"Light-Heavyweight, Women",30269,Eva Dimas,94719,12,,FALSE
2004 Summer Olympics,26,ESA,Weightlifting,"Heavyweight, Women",30413,Eva Dimas,94719,11,,FALSE
2008 Summer Olympics,53,ESA,Weightlifting,"Super-Heavyweight, Women",263123,Eva Dimas,94719,DNF,,FALSE
2012 Summer Olympics,54,ESA,Weightlifting,"Featherweight, Men",331036,Julio César Salamanca,126400,10,,FALSE
2016 Summer Olympics,59,ESA,Weightlifting,"Featherweight, Men",354299,Julio César Salamanca,126400,10,,FALSE
1972 Summer Olympics,18,PRK,Weightlifting,"Flyweight, Men",29487,Pak Dong-Geun,56570,6,,FALSE
1976 Summer Olympics,19,PRK,Weightlifting,"Flyweight, Men",29617,Im Jae-Ho,56560,10,,FALSE
1976 Summer Olympics,19,PRK,Weightlifting,"Bantamweight, Men",29628,Han Gyong-Si,56558,AC,,FALSE
1976 Summer Olympics,19,PRK,Weightlifting,"Featherweight, Men",29637,Om Jong-Guk,56569,8,,FALSE
1980 Summer Olympics,20,PRK,Weightlifting,"Flyweight, Men",29702,Ho Bong-Chol,56559,2,Silver,FALSE
1980 Summer Olympics,20,PRK,Weightlifting,"Flyweight, Men",29702,Han Gyong-Si,56558,3,Bronze,FALSE
1980 Summer Olympics,20,PRK,Weightlifting,"Bantamweight, Men",29713,Yang Eui-Yong,56562,5,,FALSE
1980 Summer Olympics,20,PRK,Weightlifting,"Bantamweight, Men",29713,Choe Jong-Sop,56556,9,,FALSE
1980 Summer Olympics,20,PRK,Weightlifting,"Lightweight, Men",29731,Li Gwang-Ju,56567,13,,FALSE
1992 Summer Olympics,23,PRK,Weightlifting,"Flyweight, Men",29978,Gil Nam-Su,56557,6,,FALSE
1992 Summer Olympics,23,PRK,Weightlifting,"Flyweight, Men",29978,Kim Myong-Sik,56565,DNF,,FALSE
1992 Summer Olympics,23,PRK,Weightlifting,"Bantamweight, Men",29987,Kim Yong-Chol,56566,7,,FALSE
1992 Summer Olympics,23,PRK,Weightlifting,"Featherweight, Men",29996,Ro Hyon-Il,56572,6,,FALSE
1992 Summer Olympics,23,PRK,Weightlifting,"Featherweight, Men",29996,Li Jae-Son,56568,8,,FALSE
1992 Summer Olympics,23,PRK,Weightlifting,"Lightweight, Men",30005,Im Sang-Ho,56561,7,,FALSE
1992 Summer Olympics,23,PRK,Weightlifting,"Middleweight, Men",30014,Kim Myong-Nam,56564,3,Bronze,FALSE
1992 Summer Olympics,23,PRK,Weightlifting,"Middleweight, Men",30014,Pak Ui-Myong,56571,15,,FALSE
1992 Summer Olympics,23,PRK,Weightlifting,"Light-Heavyweight, Men",30023,Chon Chol-Ho,56563,4,,FALSE
1992 Summer Olympics,23,PRK,Weightlifting,"Middle-Heavyweight, Men",30032,Yun Chol,56573,12,,FALSE
1996 Summer Olympics,24,PRK,Weightlifting,"Lightweight, Men",30095,Kim Myong-Nam,56564,2,Silver,FALSE
1996 Summer Olympics,24,PRK,Weightlifting,"Middleweight, Men",30104,Chon Chol-Ho,56563,3,Bronze,FALSE
2000 Summer Olympics,25,PRK,Weightlifting,"Featherweight, Men",30169,Im Yong-Su,94749,DNF,,FALSE
2000 Summer Olympics,25,PRK,Weightlifting,"Middleweight, Men",30188,Chon Chol-Ho,56563,6,,FALSE
2000 Summer Olympics,25,PRK,Weightlifting,"Lightweight, Women",30251,Ri Song-Hui,94751,2,Silver,FALSE
